[13.6.2011 | 14:27:01] /flip 
[13.6.2011 | 14:27:26] /goto 0
[13.6.2011 | 14:27:41] /goto 3
[13.6.2011 | 14:29:51] /goto 2
[13.6.2011 | 14:29:54] /goto 0
[13.6.2011 | 14:31:05] /goto 0
[13.6.2011 | 14:31:08] /goto 0
[13.6.2011 | 14:31:10] /goto 0
[13.6.2011 | 14:31:23] /goto 3
[13.6.2011 | 14:31:28] /goto 0
[13.6.2011 | 14:32:46] /goto 3
[13.6.2011 | 14:32:55] /goto 0
[13.6.2011 | 14:34:33] /flip 
