[26.4.2011 | 16:31:37] 
[IP: 5.101.27.252] [sTz]SuL[T]aN (id:0): ggg[13.6.2011 | 18:52:39] 
[IP: 127.0.0.1] _Pois0n_ (id:0): a[13.6.2011 | 18:52:39] 
[IP: 5.34.194.40] [Saw]Breacher (id:1): äìå[13.6.2011 | 18:52:43] 
[IP: 5.34.194.40] [Saw]Breacher (id:1): îé æä[13.6.2011 | 18:52:53] 
[IP: 127.0.0.1] _Pois0n_ (id:0): ä'[13.6.2011 | 18:52:55] 
[IP: 5.34.194.40] [Saw]Breacher (id:1): ðå ãééé îä [13.6.2011 | 18:52:57] 
[IP: 5.34.194.40] [Saw]Breacher (id:1): îé æääää[13.6.2011 | 18:53:04] 
[IP: 5.34.194.40] [Saw]Breacher (id:1): äìå[13.6.2011 | 18:53:05] 
[IP: 127.0.0.1] _Pois0n_ (id:0): àìåäéí
